path,name,parent_path,node_type,file_type,category,purpose,defines,execution_role,used_by,depends_on,inputs,outputs,side_effects,env_config_requirements,related_files,doc_role,doc_content_summary,doc_purpose,doc_discusses,doc_references,doc_time_horizon,doc_style,doc_apparent_overlap,doc_status_signals,doc_decision_support_notes,confidence,excluded_reason
fight-caves-RL/data/area/kharidian_desert/sophanem/sophanem_dungeon/sophanem_dungeon.drops.toml,sophanem_dungeon.drops.toml,fight-caves-RL/data/area/kharidian_desert/sophanem/sophanem_dungeon,file,TOML,config,TOML configuration or data file for the enclosing module.,Unknown,config only,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Confirmed,
fight-caves-RL/data/area/kharidian_desert/sophanem/sophanem_dungeon/sophanem_dungeon.npc-spawns.toml,sophanem_dungeon.npc-spawns.toml,fight-caves-RL/data/area/kharidian_desert/sophanem/sophanem_dungeon,file,TOML,config,TOML configuration or data file for the enclosing module.,Unknown,config only,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Confirmed,
fight-caves-RL/data/area/kharidian_desert/sophanem/sophanem_dungeon/sophanem_dungeon.npcs.toml,sophanem_dungeon.npcs.toml,fight-caves-RL/data/area/kharidian_desert/sophanem/sophanem_dungeon,file,TOML,config,TOML configuration or data file for the enclosing module.,Unknown,config only,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Confirmed,
fight-caves-RL/data/area/kharidian_desert/ullek,ullek,fight-caves-RL/data/area/kharidian_desert,directory,Directory,simulation,Contains files for fight-caves-RL/data/area/kharidian_desert / ullek.,Not applicable,support utility,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,fight-caves-RL/data/area/kharidian_desert/ullek/ullek.npc-spawns.toml; fight-caves-RL/data/area/kharidian_desert/ullek/ullek.npcs.toml,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Confirmed,
fight-caves-RL/data/area/kharidian_desert/ullek/scabaras_dungeon,scabaras_dungeon,fight-caves-RL/data/area/kharidian_desert/ullek,directory,Directory,simulation,Contains files for fight-caves-RL/data/area/kharidian_desert/ullek / scabaras_dungeon.,Not applicable,support utility,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,fight-caves-RL/data/area/kharidian_desert/ullek/scabaras_dungeon/scabaras_dungeon.npc-spawns.toml; fight-caves-RL/data/area/kharidian_desert/ullek/scabaras_dungeon/scabaras_dungeon.npcs.toml,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Confirmed,
fight-caves-RL/data/area/kharidian_desert/ullek/scabaras_dungeon/scabaras_dungeon.npc-spawns.toml,scabaras_dungeon.npc-spawns.toml,fight-caves-RL/data/area/kharidian_desert/ullek/scabaras_dungeon,file,TOML,config,TOML configuration or data file for the enclosing module.,Unknown,config only,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Confirmed,
fight-caves-RL/data/area/kharidian_desert/ullek/scabaras_dungeon/scabaras_dungeon.npcs.toml,scabaras_dungeon.npcs.toml,fight-caves-RL/data/area/kharidian_desert/ullek/scabaras_dungeon,file,TOML,config,TOML configuration or data file for the enclosing module.,Unknown,config only,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Confirmed,
fight-caves-RL/data/area/kharidian_desert/ullek/ullek.npc-spawns.toml,ullek.npc-spawns.toml,fight-caves-RL/data/area/kharidian_desert/ullek,file,TOML,config,TOML configuration or data file for the enclosing module.,Unknown,config only,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Confirmed,
fight-caves-RL/data/area/kharidian_desert/ullek/ullek.npcs.toml,ullek.npcs.toml,fight-caves-RL/data/area/kharidian_desert/ullek,file,TOML,config,TOML configuration or data file for the enclosing module.,Unknown,config only,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Confirmed,
fight-caves-RL/data/area/kharidian_desert/uzer,uzer,fight-caves-RL/data/area/kharidian_desert,directory,Directory,simulation,Contains files for fight-caves-RL/data/area/kharidian_desert / uzer.,Not applicable,support utility,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,fight-caves-RL/data/area/kharidian_desert/uzer/uzer.npc-spawns.toml; fight-caves-RL/data/area/kharidian_desert/uzer/uzer.npcs.toml,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Confirmed,
fight-caves-RL/data/area/kharidian_desert/uzer/hunter_area,hunter_area,fight-caves-RL/data/area/kharidian_desert/uzer,directory,Directory,simulation,Contains files for fight-caves-RL/data/area/kharidian_desert/uzer / hunter_area.,Not applicable,support utility,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,fight-caves-RL/data/area/kharidian_desert/uzer/hunter_area/uzer_hunter_area.npc-spawns.toml; fight-caves-RL/data/area/kharidian_desert/uzer/hunter_area/uzer_hunter_area.npcs.toml,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Confirmed,
fight-caves-RL/data/area/kharidian_desert/uzer/hunter_area/uzer_hunter_area.npc-spawns.toml,uzer_hunter_area.npc-spawns.toml,fight-caves-RL/data/area/kharidian_desert/uzer/hunter_area,file,TOML,config,TOML configuration or data file for the enclosing module.,Unknown,config only,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Confirmed,
fight-caves-RL/data/area/kharidian_desert/uzer/hunter_area/uzer_hunter_area.npcs.toml,uzer_hunter_area.npcs.toml,fight-caves-RL/data/area/kharidian_desert/uzer/hunter_area,file,TOML,config,TOML configuration or data file for the enclosing module.,Unknown,config only,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Confirmed,
fight-caves-RL/data/area/kharidian_desert/uzer/mastaba,mastaba,fight-caves-RL/data/area/kharidian_desert/uzer,directory,Directory,simulation,Contains files for fight-caves-RL/data/area/kharidian_desert/uzer / mastaba.,Not applicable,support utility,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,fight-caves-RL/data/area/kharidian_desert/uzer/mastaba/uzer_mastaba.npc-spawns.toml; fight-caves-RL/data/area/kharidian_desert/uzer/mastaba/uzer_mastaba.npcs.toml,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Confirmed,
fight-caves-RL/data/area/kharidian_desert/uzer/mastaba/uzer_mastaba.npc-spawns.toml,uzer_mastaba.npc-spawns.toml,fight-caves-RL/data/area/kharidian_desert/uzer/mastaba,file,TOML,config,TOML configuration or data file for the enclosing module.,Unknown,config only,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Confirmed,
fight-caves-RL/data/area/kharidian_desert/uzer/mastaba/uzer_mastaba.npcs.toml,uzer_mastaba.npcs.toml,fight-caves-RL/data/area/kharidian_desert/uzer/mastaba,file,TOML,config,TOML configuration or data file for the enclosing module.,Unknown,config only,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Confirmed,
fight-caves-RL/data/area/kharidian_desert/uzer/uzer.npc-spawns.toml,uzer.npc-spawns.toml,fight-caves-RL/data/area/kharidian_desert/uzer,file,TOML,config,TOML configuration or data file for the enclosing module.,Unknown,config only,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Confirmed,
fight-caves-RL/data/area/kharidian_desert/uzer/uzer.npcs.toml,uzer.npcs.toml,fight-caves-RL/data/area/kharidian_desert/uzer,file,TOML,config,TOML configuration or data file for the enclosing module.,Unknown,config only,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Confirmed,
fight-caves-RL/data/area/misthalin,misthalin,fight-caves-RL/data/area,directory,Directory,simulation,Contains files for fight-caves-RL/data/area / misthalin.,Not applicable,support utility,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,fight-caves-RL/data/area/misthalin/border_guard.anims.toml; fight-caves-RL/data/area/misthalin/border_guard.areas.toml; fight-caves-RL/data/area/misthalin/border_guard.objs.toml,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Confirmed,
fight-caves-RL/data/area/misthalin/barbarian_village,barbarian_village,fight-caves-RL/data/area/misthalin,directory,Directory,simulation,Contains files for fight-caves-RL/data/area/misthalin / barbarian_village.,Not applicable,support utility,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,fight-caves-RL/data/area/misthalin/barbarian_village/barbarian_village.areas.toml; fight-caves-RL/data/area/misthalin/barbarian_village/barbarian_village.combat.toml; fight-caves-RL/data/area/misthalin/barbarian_village/barbarian_village.drops.toml,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Confirmed,
fight-caves-RL/data/area/misthalin/barbarian_village/barbarian_village.areas.toml,barbarian_village.areas.toml,fight-caves-RL/data/area/misthalin/barbarian_village,file,TOML,config,TOML configuration or data file for the enclosing module.,Unknown,config only,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Confirmed,
fight-caves-RL/data/area/misthalin/barbarian_village/barbarian_village.combat.toml,barbarian_village.combat.toml,fight-caves-RL/data/area/misthalin/barbarian_village,file,TOML,config,TOML configuration or data file for the enclosing module.,Unknown,config only,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Confirmed,
fight-caves-RL/data/area/misthalin/barbarian_village/barbarian_village.drops.toml,barbarian_village.drops.toml,fight-caves-RL/data/area/misthalin/barbarian_village,file,TOML,config,TOML configuration or data file for the enclosing module.,Unknown,config only,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Confirmed,
fight-caves-RL/data/area/misthalin/barbarian_village/barbarian_village.npc-spawns.toml,barbarian_village.npc-spawns.toml,fight-caves-RL/data/area/misthalin/barbarian_village,file,TOML,config,TOML configuration or data file for the enclosing module.,Unknown,config only,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Confirmed,
fight-caves-RL/data/area/misthalin/barbarian_village/barbarian_village.npcs.toml,barbarian_village.npcs.toml,fight-caves-RL/data/area/misthalin/barbarian_village,file,TOML,config,TOML configuration or data file for the enclosing module.,Unknown,config only,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Confirmed,
fight-caves-RL/data/area/misthalin/barbarian_village/barbarian_village.objs.toml,barbarian_village.objs.toml,fight-caves-RL/data/area/misthalin/barbarian_village,file,TOML,config,TOML configuration or data file for the enclosing module.,Unknown,config only,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Confirmed,
fight-caves-RL/data/area/misthalin/barbarian_village/barbarian_village.shops.toml,barbarian_village.shops.toml,fight-caves-RL/data/area/misthalin/barbarian_village,file,TOML,config,TOML configuration or data file for the enclosing module.,Unknown,config only,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Confirmed,
fight-caves-RL/data/area/misthalin/barbarian_village/barbarian_village.teles.toml,barbarian_village.teles.toml,fight-caves-RL/data/area/misthalin/barbarian_village,file,TOML,config,TOML configuration or data file for the enclosing module.,Unknown,config only,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Confirmed,
fight-caves-RL/data/area/misthalin/barbarian_village/stronghold_of_player_safety,stronghold_of_player_safety,fight-caves-RL/data/area/misthalin/barbarian_village,directory,Directory,simulation,Contains files for fight-caves-RL/data/area/misthalin/barbarian_village / stronghold_of_player_safety.,Not applicable,support utility,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,fight-caves-RL/data/area/misthalin/barbarian_village/stronghold_of_player_safety/stronghold_of_player_safety.npc-spawns.toml; fight-caves-RL/data/area/misthalin/barbarian_village/stronghold_of_player_safety/stronghold_of_player_safety.npcs.toml,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Confirmed,
fight-caves-RL/data/area/misthalin/barbarian_village/stronghold_of_player_safety/stronghold_of_player_safety.npc-spawns.toml,stronghold_of_player_safety.npc-spawns.toml,fight-caves-RL/data/area/misthalin/barbarian_village/stronghold_of_player_safety,file,TOML,config,TOML configuration or data file for the enclosing module.,Unknown,config only,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Confirmed,
fight-caves-RL/data/area/misthalin/barbarian_village/stronghold_of_player_safety/stronghold_of_player_safety.npcs.toml,stronghold_of_player_safety.npcs.toml,fight-caves-RL/data/area/misthalin/barbarian_village/stronghold_of_player_safety,file,TOML,config,TOML configuration or data file for the enclosing module.,Unknown,config only,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Confirmed,
fight-caves-RL/data/area/misthalin/barbarian_village/stronghold_of_security,stronghold_of_security,fight-caves-RL/data/area/misthalin/barbarian_village,directory,Directory,simulation,Contains files for fight-caves-RL/data/area/misthalin/barbarian_village / stronghold_of_security.,Not applicable,support utility,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,fight-caves-RL/data/area/misthalin/barbarian_village/stronghold_of_security/stronghold_of_security.anims.toml; fight-caves-RL/data/area/misthalin/barbarian_village/stronghold_of_security/stronghold_of_security.areas.toml; fight-caves-RL/data/area/misthalin/barbarian_village/stronghold_of_security/stronghold_of_security.books.toml,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Confirmed,
fight-caves-RL/data/area/misthalin/barbarian_village/stronghold_of_security/catablepon,catablepon,fight-caves-RL/data/area/misthalin/barbarian_village/stronghold_of_security,directory,Directory,simulation,Contains files for fight-caves-RL/data/area/misthalin/barbarian_village/stronghold_of_security / catablepon.,Not applicable,support utility,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,fight-caves-RL/data/area/misthalin/barbarian_village/stronghold_of_security/catablepon/catablepon.anims.toml; fight-caves-RL/data/area/misthalin/barbarian_village/stronghold_of_security/catablepon/catablepon.combat.toml; fight-caves-RL/data/area/misthalin/barbarian_village/stronghold_of_security/catablepon/catablepon.drops.toml,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Confirmed,
fight-caves-RL/data/area/misthalin/barbarian_village/stronghold_of_security/catablepon/catablepon.anims.toml,catablepon.anims.toml,fight-caves-RL/data/area/misthalin/barbarian_village/stronghold_of_security/catablepon,file,TOML,config,TOML configuration or data file for the enclosing module.,Unknown,config only,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Confirmed,
fight-caves-RL/data/area/misthalin/barbarian_village/stronghold_of_security/catablepon/catablepon.combat.toml,catablepon.combat.toml,fight-caves-RL/data/area/misthalin/barbarian_village/stronghold_of_security/catablepon,file,TOML,config,TOML configuration or data file for the enclosing module.,Unknown,config only,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Confirmed,
fight-caves-RL/data/area/misthalin/barbarian_village/stronghold_of_security/catablepon/catablepon.drops.toml,catablepon.drops.toml,fight-caves-RL/data/area/misthalin/barbarian_village/stronghold_of_security/catablepon,file,TOML,config,TOML configuration or data file for the enclosing module.,Unknown,config only,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Confirmed,
fight-caves-RL/data/area/misthalin/barbarian_village/stronghold_of_security/catablepon/catablepon.npc-spawns.toml,catablepon.npc-spawns.toml,fight-caves-RL/data/area/misthalin/barbarian_village/stronghold_of_security/catablepon,file,TOML,config,TOML configuration or data file for the enclosing module.,Unknown,config only,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Confirmed,
fight-caves-RL/data/area/misthalin/barbarian_village/stronghold_of_security/catablepon/catablepon.npcs.toml,catablepon.npcs.toml,fight-caves-RL/data/area/misthalin/barbarian_village/stronghold_of_security/catablepon,file,TOML,config,TOML configuration or data file for the enclosing module.,Unknown,config only,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Confirmed,
fight-caves-RL/data/area/misthalin/barbarian_village/stronghold_of_security/flesh_crawler,flesh_crawler,fight-caves-RL/data/area/misthalin/barbarian_village/stronghold_of_security,directory,Directory,simulation,Contains files for fight-caves-RL/data/area/misthalin/barbarian_village/stronghold_of_security / flesh_crawler.,Not applicable,support utility,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,fight-caves-RL/data/area/misthalin/barbarian_village/stronghold_of_security/flesh_crawler/flesh_crawler.anims.toml; fight-caves-RL/data/area/misthalin/barbarian_village/stronghold_of_security/flesh_crawler/flesh_crawler.combat.toml; fight-caves-RL/data/area/misthalin/barbarian_village/stronghold_of_security/flesh_crawler/flesh_crawler.drops.toml,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Confirmed,
fight-caves-RL/data/area/misthalin/barbarian_village/stronghold_of_security/flesh_crawler/flesh_crawler.anims.toml,flesh_crawler.anims.toml,fight-caves-RL/data/area/misthalin/barbarian_village/stronghold_of_security/flesh_crawler,file,TOML,config,TOML configuration or data file for the enclosing module.,Unknown,config only,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Confirmed,
fight-caves-RL/data/area/misthalin/barbarian_village/stronghold_of_security/flesh_crawler/flesh_crawler.combat.toml,flesh_crawler.combat.toml,fight-caves-RL/data/area/misthalin/barbarian_village/stronghold_of_security/flesh_crawler,file,TOML,config,TOML configuration or data file for the enclosing module.,Unknown,config only,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Confirmed,
fight-caves-RL/data/area/misthalin/barbarian_village/stronghold_of_security/flesh_crawler/flesh_crawler.drops.toml,flesh_crawler.drops.toml,fight-caves-RL/data/area/misthalin/barbarian_village/stronghold_of_security/flesh_crawler,file,TOML,config,TOML configuration or data file for the enclosing module.,Unknown,config only,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Confirmed,
fight-caves-RL/data/area/misthalin/barbarian_village/stronghold_of_security/flesh_crawler/flesh_crawler.npcs.toml,flesh_crawler.npcs.toml,fight-caves-RL/data/area/misthalin/barbarian_village/stronghold_of_security/flesh_crawler,file,TOML,config,TOML configuration or data file for the enclosing module.,Unknown,config only,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Confirmed,
fight-caves-RL/data/area/misthalin/barbarian_village/stronghold_of_security/flesh_crawler/flesh_crawler.sounds.toml,flesh_crawler.sounds.toml,fight-caves-RL/data/area/misthalin/barbarian_village/stronghold_of_security/flesh_crawler,file,TOML,config,TOML configuration or data file for the enclosing module.,Unknown,config only,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Confirmed,
fight-caves-RL/data/area/misthalin/barbarian_village/stronghold_of_security/minotaur,minotaur,fight-caves-RL/data/area/misthalin/barbarian_village/stronghold_of_security,directory,Directory,simulation,Contains files for fight-caves-RL/data/area/misthalin/barbarian_village/stronghold_of_security / minotaur.,Not applicable,support utility,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,fight-caves-RL/data/area/misthalin/barbarian_village/stronghold_of_security/minotaur/minotaur.anims.toml; fight-caves-RL/data/area/misthalin/barbarian_village/stronghold_of_security/minotaur/minotaur.combat.toml; fight-caves-RL/data/area/misthalin/barbarian_village/stronghold_of_security/minotaur/minotaur.drops.toml,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Confirmed,
fight-caves-RL/data/area/misthalin/barbarian_village/stronghold_of_security/minotaur/minotaur.anims.toml,minotaur.anims.toml,fight-caves-RL/data/area/misthalin/barbarian_village/stronghold_of_security/minotaur,file,TOML,config,TOML configuration or data file for the enclosing module.,Unknown,config only,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Confirmed,
fight-caves-RL/data/area/misthalin/barbarian_village/stronghold_of_security/minotaur/minotaur.combat.toml,minotaur.combat.toml,fight-caves-RL/data/area/misthalin/barbarian_village/stronghold_of_security/minotaur,file,TOML,config,TOML configuration or data file for the enclosing module.,Unknown,config only,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Confirmed,
fight-caves-RL/data/area/misthalin/barbarian_village/stronghold_of_security/minotaur/minotaur.drops.toml,minotaur.drops.toml,fight-caves-RL/data/area/misthalin/barbarian_village/stronghold_of_security/minotaur,file,TOML,config,TOML configuration or data file for the enclosing module.,Unknown,config only,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Confirmed,
fight-caves-RL/data/area/misthalin/barbarian_village/stronghold_of_security/minotaur/minotaur.npc-spawns.toml,minotaur.npc-spawns.toml,fight-caves-RL/data/area/misthalin/barbarian_village/stronghold_of_security/minotaur,file,TOML,config,TOML configuration or data file for the enclosing module.,Unknown,config only,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Confirmed,
fight-caves-RL/data/area/misthalin/barbarian_village/stronghold_of_security/minotaur/minotaur.npcs.toml,minotaur.npcs.toml,fight-caves-RL/data/area/misthalin/barbarian_village/stronghold_of_security/minotaur,file,TOML,config,TOML configuration or data file for the enclosing module.,Unknown,config only,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Confirmed,
fight-caves-RL/data/area/misthalin/barbarian_village/stronghold_of_security/minotaur/minotaur.sounds.toml,minotaur.sounds.toml,fight-caves-RL/data/area/misthalin/barbarian_village/stronghold_of_security/minotaur,file,TOML,config,TOML configuration or data file for the enclosing module.,Unknown,config only,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Confirmed,
fight-caves-RL/data/area/misthalin/barbarian_village/stronghold_of_security/stronghold_of_security.anims.toml,stronghold_of_security.anims.toml,fight-caves-RL/data/area/misthalin/barbarian_village/stronghold_of_security,file,TOML,config,TOML configuration or data file for the enclosing module.,Unknown,config only,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Confirmed,
fight-caves-RL/data/area/misthalin/barbarian_village/stronghold_of_security/stronghold_of_security.areas.toml,stronghold_of_security.areas.toml,fight-caves-RL/data/area/misthalin/barbarian_village/stronghold_of_security,file,TOML,config,TOML configuration or data file for the enclosing module.,Unknown,config only,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Confirmed,
fight-caves-RL/data/area/misthalin/barbarian_village/stronghold_of_security/stronghold_of_security.books.toml,stronghold_of_security.books.toml,fight-caves-RL/data/area/misthalin/barbarian_village/stronghold_of_security,file,TOML,config,TOML configuration or data file for the enclosing module.,Unknown,config only,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Confirmed,
