path,type,category,purpose,confidence
RL/fight_caves_rl/tests/unit/test_required_docs_exist.py,File,tests,"Automated RL test file covering unit, smoke, integration, determinism, or performance behavior.",Confirmed
RL/fight_caves_rl/tests/unit/test_reward_no_future_leakage.py,File,tests,"Automated RL test file covering unit, smoke, integration, determinism, or performance behavior.",Confirmed
RL/fight_caves_rl/tests/unit/test_reward_reproducibility.py,File,tests,"Automated RL test file covering unit, smoke, integration, determinism, or performance behavior.",Confirmed
RL/fight_caves_rl/tests/unit/test_run_manifest_basics.py,File,tests,"Automated RL test file covering unit, smoke, integration, determinism, or performance behavior.",Confirmed
RL/fight_caves_rl/tests/unit/test_shared_memory_transport.py,File,tests,"Automated RL test file covering unit, smoke, integration, determinism, or performance behavior.",Confirmed
RL/fight_caves_rl/tests/unit/test_subprocess_transport_minimal_info.py,File,tests,"Automated RL test file covering unit, smoke, integration, determinism, or performance behavior.",Confirmed
RL/fight_caves_rl/tests/unit/test_train_ceiling_bench.py,File,tests,"Automated RL test file covering unit, smoke, integration, determinism, or performance behavior.",Confirmed
RL/fight_caves_rl/tests/unit/test_train_vecenv_defaults.py,File,tests,"Automated RL test file covering unit, smoke, integration, determinism, or performance behavior.",Confirmed
RL/fight_caves_rl/tests/unit/test_versions.py,File,tests,"Automated RL test file covering unit, smoke, integration, determinism, or performance behavior.",Confirmed
RL/fight_caves_rl/utils,Directory,utility,"Shared utility helpers for runtime, subprocess, and filesystem support.",Confirmed
RL/fight_caves_rl/utils/__init__.py,File,utility,"Shared RL utility implementation file.",Confirmed
RL/fight_caves_rl/utils/config.py,File,utility,"Shared RL utility implementation file.",Confirmed
RL/fight_caves_rl/utils/java_runtime.py,File,utility,"Shared RL utility implementation file.",Confirmed
RL/fight_caves_rl/utils/paths.py,File,utility,"Shared RL utility implementation file.",Confirmed
RL/fight_caves_rl/utils/seeding.py,File,utility,"Shared RL utility implementation file.",Confirmed
RL/history,Directory,docs,"Historical notes retained for prior RL workspace decisions.",Confirmed
RL/history/workspace_refactor_audit.md,File,docs,"Historical RL note or audit document.",Confirmed
RL/pyproject.toml,File,config,"Python project metadata, dependency, and tool configuration.",Confirmed
RL/resources,Directory,artifacts,"Repository resource directory reserved for tracked auxiliary assets.",Confirmed
RL/resources/.gitkeep,File,artifacts,"Tracked auxiliary resource file.",Confirmed
RL/scripts,Directory,tooling,"Operational entrypoints for training, benchmarking, replay, parity, and packet refresh flows.",Confirmed
RL/scripts/benchmark_bridge.py,File,tooling,"Executable RL workflow script for training, evaluation, replay, smoke, or benchmarking.",Confirmed
RL/scripts/benchmark_env.py,File,tooling,"Executable RL workflow script for training, evaluation, replay, smoke, or benchmarking.",Confirmed
RL/scripts/benchmark_subprocess_transport.py,File,tooling,"Executable RL workflow script for training, evaluation, replay, smoke, or benchmarking.",Confirmed
RL/scripts/benchmark_train.py,File,tooling,"Executable RL workflow script for training, evaluation, replay, smoke, or benchmarking.",Confirmed
RL/scripts/benchmark_train_ceiling.py,File,tooling,"Executable RL workflow script for training, evaluation, replay, smoke, or benchmarking.",Confirmed
RL/scripts/bootstrap_wsl_toolchain.sh,File,tooling,"Executable RL workflow script for training, evaluation, replay, smoke, or benchmarking.",Confirmed
RL/scripts/collect_batch_trace.py,File,tooling,"Executable RL workflow script for training, evaluation, replay, smoke, or benchmarking.",Confirmed
RL/scripts/collect_mechanics_parity_trace.py,File,tooling,"Executable RL workflow script for training, evaluation, replay, smoke, or benchmarking.",Confirmed
RL/scripts/collect_reset_repro.py,File,tooling,"Executable RL workflow script for training, evaluation, replay, smoke, or benchmarking.",Confirmed
RL/scripts/collect_seedpack_eval.py,File,tooling,"Executable RL workflow script for training, evaluation, replay, smoke, or benchmarking.",Confirmed
RL/scripts/collect_step_trace.py,File,tooling,"Executable RL workflow script for training, evaluation, replay, smoke, or benchmarking.",Confirmed
RL/scripts/collect_trajectory_trace.py,File,tooling,"Executable RL workflow script for training, evaluation, replay, smoke, or benchmarking.",Confirmed
RL/scripts/eval.py,File,tooling,"Executable RL workflow script for training, evaluation, replay, smoke, or benchmarking.",Confirmed
RL/scripts/refresh_phase0_packet.py,File,tooling,"Executable RL workflow script for training, evaluation, replay, smoke, or benchmarking.",Confirmed
RL/scripts/refresh_phase1_packet.py,File,tooling,"Executable RL workflow script for training, evaluation, replay, smoke, or benchmarking.",Confirmed
RL/scripts/refresh_phase2_packet.py,File,tooling,"Executable RL workflow script for training, evaluation, replay, smoke, or benchmarking.",Confirmed
RL/scripts/refresh_phase2_prototype_packet.py,File,tooling,"Executable RL workflow script for training, evaluation, replay, smoke, or benchmarking.",Confirmed
RL/scripts/replay_eval.py,File,tooling,"Executable RL workflow script for training, evaluation, replay, smoke, or benchmarking.",Confirmed
RL/scripts/run_acceptance_gate.py,File,tooling,"Executable RL workflow script for training, evaluation, replay, smoke, or benchmarking.",Confirmed
RL/scripts/run_parity_canary.py,File,tooling,"Executable RL workflow script for training, evaluation, replay, smoke, or benchmarking.",Confirmed
RL/scripts/run_vecenv_smoke.py,File,tooling,"Executable RL workflow script for training, evaluation, replay, smoke, or benchmarking.",Confirmed
RL/scripts/smoke_random.py,File,tooling,"Executable RL workflow script for training, evaluation, replay, smoke, or benchmarking.",Confirmed
RL/scripts/smoke_scripted.py,File,tooling,"Executable RL workflow script for training, evaluation, replay, smoke, or benchmarking.",Confirmed
RL/scripts/train.py,File,tooling,"Executable RL workflow script for training, evaluation, replay, smoke, or benchmarking.",Confirmed
RL/uv.lock,File,config,"Locked dependency resolution for the RL Python environment.",Confirmed
